Vicon,H001_1,H001_2,H001_3,H001_4,H001_5,H002_1,H002_2,H002_3,H002_4,H002_5,H003_1,H003_2,H003_3,H003_4,H003_5,H004_1,H004_2,H004_3,H004_4,H004_5,H005_1,H005_2,H005_3,H005_4,H005_5,H006_1,H006_2,H006_3,H006_4,H006_5,H007_1,H007_2,H007_3,H007_4,H008_1,H008_2,H008_3,H008_4,H008_5,H009_1,H009_2,H009_3,H009_4,H009_5,H010_1,H010_2,H010_3,H010_4,H010_5,H011_1,H011_2,H011_3,H011_4,H011_5,H012_1,H012_2,H012_3,H012_4,H012_5,H013_1,H013_2,H013_3,H013_4,H013_5,H014_1,H014_2,H014_3,H014_4,H014_5,H015_1,H015_2,H015_3,H015_4,H015_5,H015_6,H016_1,H016_2,H016_3,H016_4,H016_5,H017_1,H017_2,H017_3,H017_4,H017_5,H018_1,H018_2,H018_3,H018_4,H018_5,H019_1,H019_2,H019_3,H019_4,H019_5,H020_1,H020_2,H020_3,H020_4,H020_5
Start,513,495,459,745,382,481,484,715,369,355,365,327,276,406,382,481,480,427,432,530,350,403,364,386,285,388,585,824,572,304,222,1050,241,241,377,339,465,366,427,358,320,352,424,377,510,371,477,458,487,73,84,73,81,84,257,275,283,294,298,200,511,234,204,202,314,296,302,312,288,237,299,278,303,200,429,277,284,288,265,260,391,340,349,383,337,320,326,318,296,303,234,263,286,330,305,306,238,319,331,307
End,651,626,602,887,523,614,610,841,489,480,495,461,401,540,518,622,618,561,574,669,480,530,491,513,411,536,727,964,710,446,338,1168,356,356,515,478,604,511,566,483,464,495,566,515,630,480,620,593,624,106,117,108,115,118,383,398,402,413,419,329,636,375,341,334,425,407,416,424,401,363,425,407,430,330,564,401,409,417,394,390,531,474,487,517,477,447,447,442,415,428,357,384,413,454,428,428,354,436,444,421
Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start,584,429,528,814,455,420,419,651,301,295,293,389,336,341,450,550,418,493,370,466,284,339,427,318,349,462,513,751,499,372,280,1111,297,298,443,408,533,436,495,418,247,425,493,444,445,428,556,528,558,89,101,90,98,101,317,337,340,352,360,266,449,307,277,273,368,351,358,366,342,300,360,344,239,136,496,339,345,353,330,323,467,406,420,450,410,381,386,378,354,363,295,321,347,390,365,366,296,379,388,367
End,718,561,667,952,594,545,543,773,423,415,426,520,471,471,582,700,546,631,499,596,416,468,553,448,471,609,657,897,638,515,398,1227,414,412,585,549,675,578,638,547,387,566,639,587,570,534,681,655,685,123,135,123,132,134,451,460,462,471,477,393,573,441,406,399,482,463,473,481,458,425,487,468,366,266,626,462,473,479,460,453,601,543,554,584,544,506,504,498,471,485,414,444,473,515,489,488,410,491,501,478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start,518,501,462,741,378,484,483,715,376,358,362,328,276,407,386,485,481,430,434,529,351,405,364,385,286,389,585,823,570,305,221,1051,240,243,376,339,465,368,425,361,319,355,426,379,510,373,481,459,490,88,88,78,85,88,256,275,283,294,299,200,510,233,204,204,315,298,302,314,288,238,300,281,303,202,431,278,283,288,265,260,393,338,349,382,338,319,327,312,298,298,243,261,286,331,306,306,240,320,333,308
End,656,629,599,885,524,614,609,841,497,479,494,455,399,536,516,629,619,562,572,666,481,533,491,513,411,534,728,965,708,447,340,1169,357,355,514,477,604,507,566,484,463,495,564,515,631,483,621,595,626,121,121,111,119,122,382,398,402,412,420,328,636,375,340,335,425,408,417,425,401,363,425,408,431,330,562,399,410,416,395,388,532,474,485,516,474,447,447,443,414,426,358,383,411,455,427,429,354,437,446,423
Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start,582,431,529,816,453,422,423,653,303,297,295,392,339,345,451,550,420,492,372,469,286,339,426,320,349,463,513,753,500,376,280,1112,298,300,443,406,532,436,496,410,246,423,489,445,447,428,553,527,558,104,104,94,102,104,318,338,342,353,360,264,446,304,275,270,370,353,359,368,343,300,361,345,241,138,495,340,345,352,330,324,466,405,417,450,406,382,386,379,355,362,295,321,340,390,366,367,298,380,389,366
End,717,561,663,954,590,546,544,775,426,417,429,522,469,472,584,698,544,634,500,596,417,469,553,450,473,606,657,896,641,514,400,1228,416,413,583,547,673,575,634,551,389,567,635,586,572,534,683,657,687,138,138,127,137,138,448,459,462,470,479,391,574,438,403,396,482,465,473,481,458,424,487,470,373,266,626,462,472,477,458,453,591,541,553,582,542,506,503,499,473,486,414,444,471,516,487,488,411,494,500,479
